store_name,product_url,style
phantom_egy,https://phantomegy.com/products/cupid-white-shirt?variant=46504031453336,streetwear
phantom_egy,https://phantomegy.com/products/black-camo-001?variant=49157213225112,streetwear
phantom_egy,https://phantomegy.com/products/black-yeat-polo?variant=47062049554584,streetwear
ryfworld,https://rockyourfits.online/products/theweeknd-white-t-shirt?variant=50379689951547,streetwear
ryfworld,https://rockyourfits.online/products/kanye-west-white-t-shirt?variant=50379661967675,streetwear
ryfworld,https://rockyourfits.online/products/frank-ocean-white-t-shirt-1?variant=50379656298811,streetwear
ryfworld,https://rockyourfits.online/products/frank-ocean-white-t-shirt?variant=50233400590651,streetwear
aligan,https://aligan.online/products/jersey-radiant-86?variant=48281188171998,streetwear
rafeya_fashion,https://rafeyafashion.com/products/off-shoulder-black-mid-calf-dress-dec25?variant=44337817976902,elegant
rafeya_fashion,https://rafeyafashion.com/products/maroon-luxe-wrap-top-dec25?variant=44337824071750,elegant
nh_designs,https://nhdesignss.com/product/black-extra-sparkle-full-set/,elegant
kenzzy,https://www.kenzzy.co/products/ivory-grace-satin-flow-set?variant=51916458885414,elegant
kenzzy,https://www.kenzzy.co/products/black-set?variant=49720279269670,elegant
rafeya_fashion,https://rafeyafashion.com/collections/casual-winter-26/products/champagne-drape-one-shoulder-soire-dress-sdec25?variant=44394645553222,elegant
aligan,https://aligan.online/products/side-slit-long-blouse-black?variant=47980364202206,elegant
balance_249,https://balancestudios.myshopify.com/products/kandakaoversizedt-shirt,casual
nh_designs,https://nhdesignss.com/product/snatching-chemise-2/,casual
blaze_wear,https://www.blaze-eg.com/products/core-terry-zip-up?variant=47595542479040,sporty
blaze_wear,https://www.blaze-eg.com/products/wrap-long-sleeve-top?variant=46513065459904,sporty
blaze_wear,https://www.blaze-eg.com/products/core-hip-cover?variant=46734662926528,sporty
aligan,https://aligan.online/products/high-neck-tracksuit?variant=47980336840926,sporty
aligan,https://aligan.online/products/high-neck-tracksuit-1?variant=47980340183262,sporty
ryfworld,https://rockyourfits.online/products/ryf26-shirt?variant=51036341797179,streetwear
ryfworld,https://rockyourfits.online/products/ryfv14?variant=51172678861115,streetwear
ryfworld,https://rockyourfits.online/products/ryf-shirt-v11-copy?variant=51322753614139,streetwear
ryfworld,https://rockyourfits.online/products/ryf-v6-t-shirt?variant=51037249306939,streetwear
ryfworld,https://rockyourfits.online/products/ryf-v5-t-shirt?variant=51025954242875,streetwear
ryfworld,https://rockyourfits.online/products/ryf-v4-t-shirt-1?variant=51025954013499,streetwear
ryfworld,https://rockyourfits.online/products/ringer-t-shirt-2?variant=51314206015803,streetwear
balance_249,https://balancestudios.myshopify.com/products/untitled-jun9_04-00-37,streetwear
balance_249,https://balancestudios.myshopify.com/products/balancestudiosstripedshirt,streetwear
balance_249,https://balancestudios.myshopify.com/products/balance-signature-button-shirt,streetwear
balance_249,https://balancestudios.myshopify.com/products/watan-oversized-tee,streetwear
balance_249,https://balancestudios.myshopify.com/products/basic-long-sleeve-t-shirt,streetwear
balance_249,https://balancestudios.myshopify.com/products/sdn-t-shirt,streetwear
balance_249,https://balancestudios.myshopify.com/products/home-t-shirt,streetwear
aligan,https://aligan.online/products/fluffy-ties-blouse-pink?variant=48348372926686,casual
aligan,https://aligan.online/products/fluffy-ties-blouse-avocado?variant=48348399403230,casual
aligan,https://aligan.online/products/plaid-cropped-shirt-red?variant=48281185616094,casual
aligan,https://aligan.online/products/plaid-cropped-shirt-grey?variant=48281187549406,casual
aligan,https://aligan.online/products/plaid-cropped-shirt?variant=48207295348958,casual
aligan,https://aligan.online/products/hollow-out-shawl-black?variant=47980408504542,casual
aligan,https://aligan.online/products/sunset-flare-shirt-powder-yellow?variant=48281346605278,casual
kenzzy,https://www.kenzzy.co/products/shirt-dress-olive-sheen?variant=50815551635750,elegant
kenzzy,https://www.kenzzy.co/products/candy-stripes-blouse?variant=53169638965542,elegant
kenzzy,https://www.kenzzy.co/products/desert-mist-blouse-1?variant=50835810943270,elegant
kenzzy,https://www.kenzzy.co/products/burgundy-signature-set?variant=53145857294630,elegant
kenzzy,https://www.kenzzy.co/products/black-signature-set?variant=52117605417254,elegant
kenzzy,https://www.kenzzy.co/products/candy-stripes-blouse-copy?variant=53243912978726,elegant
kenzzy,https://www.kenzzy.co/products/layali-ramadan?variant=50083015393574,elegant
kenzzy,https://www.kenzzy.co/products/elegance-abaya-dress?variant=49988953735462,elegant
nh_designs,https://nhdesignss.com/product/the-polka-waisted-top/,elegant
nh_designs,https://nhdesignss.com/product/the-polka-pants/,elegant
nh_designs,https://nhdesignss.com/product/yellow-off-shoulder-hoodie/,casual
nh_designs,https://nhdesignss.com/product/moonlight-kaftan/,elegant
